fish_id,group,clutch,tau_-1,tau_0.5,tau_24,loco_-1,loco_0.5,loco_24,pre_tau,baseline_locomotion_pre,dtau_0.5,dtau_24,converted,burst_events_per_hour,ptz_challenged,dose
zf_086,high_impact,clutch_B,4.899680783091363,2.34480902588761,5.00941833535529,106.89,68.62,92.4,4.899680783091363,106.89,-2.5548717572037534,0.10973755226392701,1,5.25,0,1
zf_087,high_impact,clutch_B,5.393664400818036,4.342328760120146,3.8637752624525086,112.6,69.7,97.23,5.393664400818036,112.6,-1.0513356406978902,-1.5298891383655273,0,0.15,0,1
zf_088,high_impact,clutch_B,6.422723845503924,4.585394275142456,2.0861977085784043,108.98,71.06,92.75,6.422723845503924,108.98,-1.8373295703614678,-4.33652613692552,0,0.23,0,1
zf_089,high_impact,clutch_B,6.19287377906077,5.841001599023299,2.407180336285071,113.41,61.35,89.93,6.19287377906077,113.41,-0.35187218003747134,-3.785693442775699,1,4.46,1,1
zf_090,high_impact,clutch_B,9.730497017772304,6.715540435387867,18.446456297665495,108.49,68.38,91.38,9.730497017772304,108.49,-3.0149565823844373,8.715959279893191,1,8.45,1,1
zf_091,sham,clutch_C,5.65471811153606,5.213264930622359,5.060615541886714,99.83,102.78,107.83,5.65471811153606,99.83,-0.441453180913701,-0.5941025696493467,0,0.6,1,0
zf_092,sham,clutch_C,6.874060415766854,13.44699414923936,11.659636293038862,97.78,106.43,102.88,6.874060415766854,97.78,6.572933733472507,4.785575877272008,0,0.85,1,0
zf_093,sham,clutch_C,9.341400262840882,7.295163990618243,3.674405795997081,93.85,109.21,101.48,9.341400262840882,93.85,-2.0462362722226386,-5.666994466843801,0,0.16,0,0
zf_094,sham,clutch_C,9.175304423615362,5.777312479238181,5.84077236600926,101.04,96.94,111.75,9.175304423615362,101.04,-3.397991944377181,-3.3345320576061024,0,0.06,1,0
zf_095,sham,clutch_C,9.281341789848435,7.089940771082524,6.904573939492992,101.79,102.54,104.2,9.281341789848435,101.79,-2.1914010187659105,-2.376767850355443,0,0.2,1,0
zf_096,sham,clutch_C,5.253222127962902,7.383314445347539,7.467484292978324,102.88,104.35,107.07,5.253222127962902,102.88,2.130092317384637,2.2142621650154224,0,0.46,0,0
zf_097,sham,clutch_C,5.437756552423353,3.366169021152054,3.160036566509968,108.47,108.97,107.18,5.437756552423353,108.47,-2.0715875312712986,-2.2777199859133845,0,0.81,0,0
zf_098,sham,clutch_C,7.796366517420117,6.30728284146968,4.959213308388757,104.3,104.14,97.12,7.796366517420117,104.3,-1.489083675950437,-2.83715320903136,0,0.06,1,0
